word,pos,cefr,sense_id,sense_hint,sense_zipf,global_zipf_rank
land,verb,A2,land.v.01,reach or come to rest,4.3113,776
behave,verb,A2,act.v.02,behave in a certain manner; show a certain behavior; conduct or comport oneself,4.3097,777
ring,verb,A2,ring.v.01,sound loudly and sonorously,4.3096,778
script,noun,B1,script.n.01,a written version of a play or other dramatic composition; used in preparing for a performance,4.3094,779
spirit,noun,B1,spirit.n.01,the vital principle or animating force within living things,4.3093,780
easily,adv,A2,easily.r.01,with ease (`easy' is sometimes used informally for `easily'),4.309,781
view,noun,B1,position.n.03,a way of regarding situations or topics etc.,4.309,782
risk,verb,B1,risk.v.01,expose to a chance of loss or damage,4.3088,783
goal,noun,A2,goal.n.01,the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it,4.3086,784
frightened,adj,B1,frightened.s.01,made afraid,4.3086,785
rumor,noun,C1,rumor.n.01,gossip (usually a mixture of truth and untruth) passed around by word of mouth,4.3086,786
power,noun,A2,power.n.02,(physics) the rate of doing work; measured in watts (= joules/second),4.3084,787
clear,verb,B1,unclutter.v.01,rid of obstructions,4.3083,788
disappointed,adj,B1,defeated.s.02,disappointingly unsuccessful,4.3081,789
prize,noun,A2,prize.n.01,something given for victory or superiority in a contest or competition or for winning a lottery,4.3069,790
delivery,noun,B2,delivery.n.01,the act of delivering or distributing something (as goods or mail),4.3069,791
trick,noun,B2,trick.n.01,a cunning or deceitful action or device,4.3067,792
act,noun,B1,act.n.01,a legal document codifying the result of deliberations of a committee or society or legislative body,4.3046,793
vote,noun,B1,vote.n.01,a choice that is made by counting the number of people in favor of each alternative,4.3044,794
passenger,noun,A2,passenger.n.01,a traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not operating it,4.3043,795
female,adj,A2,female.a.01,being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop,4.3035,796
storm,noun,B1,storm.n.01,a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning,4.3035,797
focus,verb,A2,concentrate.v.02,direct one's attention on something,4.3033,798
memory,noun,A2,memory.n.02,the cognitive processes whereby past experience is remembered,4.303,799
successful,adj,B1,successful.a.01,having succeeded or being marked by a favorable outcome,4.3017,800
board,noun,A2,board.n.02,a stout length of sawn timber; made in a wide variety of sizes and used for many purposes,4.3009,801
circumstance,noun,B1,circumstance.n.01,a condition that accompanies or influences some event or activity,4.3001,802
major,adj,A2,major.a.01,of greater importance or stature or rank,4.2971,803
decent,adj,B2,decent.s.01,socially or conventionally correct; refined or virtuous,4.2967,804
deep,adj,A2,deep.a.01,relatively deep or strong; affecting one deeply,4.2964,805
lifetime,noun,B2,life.n.05,the period during which something is functional (as between birth and death),4.2956,806
row,noun,B1,row.n.01,an arrangement of objects or people side by side in a line,4.2955,807
cover,verb,A2,cover.v.02,form a cover over,4.2953,808
tour,noun,A2,tour.n.01,a journey or route all the way around a particular place or area,4.295,809
fishing,noun,A2,fishing.n.01,the act of someone who fishes as a diversion,4.2947,810
promise,noun,A2,promise.n.01,a verbal commitment by one person to another agreeing to do (or not to do) something in the future,4.2947,811
toe,noun,B1,toe.n.01,one of the digits of the foot,4.2947,812
address,verb,B2,address.v.01,speak to,4.2945,813
virus,noun,B1,virus.n.01,(virology) ultramicroscopic infectious agent that replicates itself only within cells of living hosts; many are pathogenic; a piece of nucleic acid (DNA or RNA) wrapped in a thin coat of protein,4.2942,814
share,noun,B1,share.n.01,assets belonging to or due to or contributed by an individual person or group,4.294,815
official,noun,B2,official.n.01,a worker who holds or is invested with an office,4.2938,816
chop,verb,B2,chop.v.01,cut into pieces,4.2929,817
frankly,adv,C1,honestly.r.01,(used as intensives reflecting the speaker's attitude) it is sincerely the case that,4.2929,818
lord,noun,B2,godhead.n.01,terms referring to the Judeo-Christian God,4.2911,819
closet,noun,A2,cupboard.n.01,a small room (or recess) or cabinet used for storage space,4.2908,820
force,noun,B1,force.n.01,a powerful effect or influence,4.2908,821
device,noun,A2,device.n.01,an instrumentality invented for a particular purpose,4.2905,822
shame,noun,B2,shame.n.01,a painful emotion resulting from an awareness of inadequacy or guilt,4.2904,823
testify,verb,C1,testify.v.01,give testimony in a court of law,4.2899,824
recommend,verb,A2,recommend.v.01,push for something,4.2895,825
count,noun,B1,count.n.01,the total number counted,4.2893,826
muscle,noun,B1,muscle.n.01,one of the contractile organs of the body,4.2885,827
incident,noun,B2,incident.n.01,a single distinct event,4.2884,828
hole,noun,A2,hole.n.02,an opening deliberately made in or through something,4.2882,829
wash,verb,A2,wash.v.01,clean with some chemical process,4.2879,830
soft,adj,A2,soft.a.01,yielding readily to pressure or weight,4.2879,831
custody,noun,C1,detention.n.01,a state of being confined (usually for a short time),4.2876,832
clearly,adv,A2,clearly.r.01,without doubt or question,4.2873,833
tip,noun,A2,tip.n.01,the extreme end of something; especially something pointed,4.2867,834
entirely,adv,B2,wholly.r.01,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'),4.2861,835
commit,verb,B1,perpetrate.v.01,"perform an act, usually with a negative connotation",4.2856,836
fix,verb,A2,cook.v.02,prepare for eating by applying heat,4.2853,837
lonely,adj,B1,alone.s.02,lacking companions or companionship,4.2851,838
lonely,adj,B1,lonely.s.02,marked by dejection from being alone,4.2851,839
pop,noun,A2,dad.n.01,an informal term for a father; probably derived from baby talk,4.2849,840
trash,noun,B1,rubbish.n.01,worthless material that is to be disposed of,4.2839,841
concerned,adj,B1,concerned.s.02,involved in or affected by or having a claim to or share in,4.2831,842
taste,verb,B1,taste.v.01,have flavor; taste of something,4.282,843
square,adj,B1,square.a.01,having four equal sides and four right angles or forming a right angle,4.2817,844
fire,verb,A2,fire.v.02,cause to go off,4.2813,845
regular,adj,A2,regular.a.01,in accordance with fixed order or procedure or principle,4.2809,846
chain,noun,B1,chain.n.01,a series of things depending on each other as if linked together,4.2803,847
nightmare,noun,B2,nightmare.n.02,a terrifying or deeply upsetting dream,4.2803,848
crawl,verb,C1,crawl.v.01,move slowly; in the case of people or animals with the body near the ground,4.2793,849
grant,verb,B2,allow.v.03,let have,4.2788,850
surgeon,noun,B2,surgeon.n.01,a physician who specializes in surgery,4.278,851
earn,verb,A2,gain.v.08,earn on some commercial or business transaction; earn as salary or wages,4.2776,852
legend,noun,B2,legend.n.01,a story about mythical or supernatural beings or events,4.2776,853
journey,noun,B1,journey.n.01,the act of traveling from one place to another,4.2762,854
upset,verb,B1,upset.v.02,cause to lose one's composure,4.2758,855
smell,noun,A2,smell.n.01,the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form,4.2756,856
belong,verb,A2,belong.v.02,be suitable or acceptable,4.2751,857
coincidence,noun,B2,coincidence.n.01,an event that might have been arranged although it was really accidental,4.2743,858
nonsense,noun,C1,nonsense.n.01,a message that seems to convey no meaning,4.2739,859
alarm,noun,B1,alarm.n.01,fear resulting from the awareness of danger,4.2736,860
lift,verb,A2,raise.v.02,raise from a lower to a higher position,4.2731,861
emotion,noun,B1,emotion.n.01,any strong feeling,4.272,862
cover,verb,A2,cover.v.03,"span an interval of distance, space or time",4.2718,863
embarrassed,adj,B1,abashed.s.01,feeling or caused to feel uneasy and self-conscious,4.2716,864
anniversary,noun,B1,anniversary.n.01,the date on which an event occurred in some previous year (or the celebration of it),4.2716,865
zone,noun,B2,zone.n.01,a locally circumscribed place characterized by some distinctive features,4.2716,866
settle,verb,B2,settle.v.01,"settle into a position, usually on a surface or ground",4.2708,867
director,noun,A2,director.n.01,someone who controls resources and expenditures,4.2707,868
cowboy,noun,B2,cowboy.n.01,a hired hand who tends cattle and performs other duties on horseback,4.2706,869
authority,noun,B1,authority.n.01,the power or right to give orders or make decisions,4.2699,870
priest,noun,B1,priest.n.01,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,4.2698,871
connection,noun,B1,connection.n.01,a relation between things or events (as in the case of one causing the other or sharing features with it),4.2689,872
particularly,adv,B1,particularly.r.01,to a distinctly greater extent or degree than is common,4.2688,873
serve,verb,A2,serve.v.01,"serve a purpose, role, or function",4.2687,874
spot,verb,B2,descry.v.01,catch sight of,4.2683,875
rifle,noun,C1,rifle.n.01,a shoulder firearm with a long barrel and a rifled bore,4.2683,876
respond,verb,A2,react.v.01,show a response or a reaction to something,4.2673,877
rate,noun,A2,rate.n.01,a magnitude or frequency relative to a time unit,4.2672,878
clue,noun,B1,hint.n.02,a slight indication,4.2672,879
behavior,noun,A2,behavior.n.01,manner of acting or controlling yourself,4.2671,880
loan,noun,B2,loan.n.01,the temporary provision of money (usually at interest),4.2669,881
pass,verb,A2,elapse.v.01,pass by,4.2665,882
set,verb,B1,set.v.04,establish as the highest level or best performance,4.2661,883
champion,noun,B1,champion.n.01,someone who has won first place in a competition,4.266,884
confess,verb,B2,confess.v.01,"confess to a punishable or reprehensible deed, usually under pressure",4.2655,885
nerve,noun,B2,nerve.n.01,any bundle of nerve fibers running to various organs and tissues of the body,4.2639,886
wound,noun,B2,wound.n.01,an injury to living tissue (especially an injury involving a cut or break in the skin),4.2639,887
useless,adj,B2,useless.a.01,having no beneficial use or incapable of functioning usefully,4.2631,888
holiday,noun,A2,vacation.n.01,leisure time away from work devoted to rest or pleasure,4.2629,889
dozen,noun,B2,twelve.n.01,the cardinal number that is the sum of eleven and one,4.2617,890
pet,noun,A2,pet.n.01,a domesticated animal kept for companionship or amusement,4.2612,891
previously,adv,B1,previously.r.01,at an earlier time or formerly,4.2612,892
conference,noun,A2,conference.n.01,a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda),4.2604,893
invent,verb,A2,invent.v.01,"come up with (an idea, plan, explanation, theory, or principle) after a mental effort",4.2603,894
servant,noun,B1,servant.n.01,a person working in the service of another (especially in the household),4.2598,895
stock,noun,B2,stock.n.01,the capital raised by a corporation through the issue of shares entitling holders to an ownership interest (equity),4.2589,896
film,noun,A2,film.n.02,a medium that disseminates moving pictures,4.2586,897
nation,noun,B1,state.n.04,a politically organized body of people under a single government,4.258,898
visit,noun,A2,visit.n.01,the act of going to see some person or place or thing for a short time,4.2578,899
jump,verb,A2,startle.v.02,"move or jump suddenly, as if in surprise or alarm",4.2573,900
holy,adj,B2,holy.a.01,belonging to or derived from or associated with a divine power,4.2569,901
owner,noun,A2,owner.n.01,(law) someone who owns (is legal possessor of) a business,4.2562,902
poem,noun,B1,poem.n.01,a composition written in metrical feet forming rhythmical lines,4.2559,903
odds,noun,C1,odds.n.01,the likelihood of a thing occurring rather than not occurring,4.2559,904
birth,noun,A2,birth.n.01,the time when something begins (especially life),4.2556,905
apart,adv,B1,apart.r.02,not taken into account or excluded from consideration,4.2548,906
estate,noun,B2,estate.n.01,everything you own; all of your assets (whether real property or personal property) and liabilities,4.2543,907
start,noun,B1,start.n.01,the beginning of anything,4.2539,908
visit,verb,A2,visit.v.01,"go to see a place, as for entertainment",4.2538,909
factory,noun,A2,factory.n.01,a plant consisting of one or more buildings with facilities for manufacturing,4.2535,910
invitation,noun,A2,invitation.n.01,a request (spoken or written) to participate or be present or take part in something,4.2525,911
cure,verb,B2,bring_around.v.02,"provide a cure for, make healthy again",4.2523,912
captain,noun,B1,captain.n.02,the naval officer in command of a military ship,4.2518,913
spy,noun,C1,spy.n.01,(military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors,4.2516,914
bury,verb,B1,bury.v.01,cover from sight,4.2511,915
helicopter,noun,B1,helicopter.n.01,an aircraft without wings that obtains its lift from the rotation of overhead blades,4.2511,916
deep,adj,A2,deep.a.03,having great spatial extension or penetration downward or inward from an outer surface or backward or laterally or outward from a center; sometimes used in combination,4.2507,917
concern,noun,B1,concern.n.01,something that interests you because it is important or affects you,4.2505,918
property,noun,B1,property.n.01,something owned; any tangible or intangible possession that is owned by someone,4.2503,919
wolf,noun,B2,wolf.n.01,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs,4.2496,920
fate,noun,C1,destiny.n.01,an event (or a course of events) that will inevitably happen in the future,4.2493,921
image,noun,A2,image.n.01,an iconic mental representation,4.2491,922
figure,noun,A2,figure.n.01,a diagram or picture illustrating textual material,4.2491,923
smoking,noun,A2,smoke.n.07,the act of smoking tobacco or other substances,4.2491,924
tent,noun,B1,tent.n.01,a portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs),4.2491,925
watch,noun,A2,watch.n.01,a small portable timepiece,4.2486,926
run,noun,A2,run.n.01,a score in baseball made by a runner touching all four bases safely,4.2484,927
candle,noun,B2,candle.n.01,stick of wax with a wick in the middle,4.2476,928
visitor,noun,A2,visitor.n.01,someone who visits,4.2471,929
facility,noun,B2,facility.n.01,a building or place that provides a particular service or is used for a particular industry,4.2471,930
surveillance,noun,C1,surveillance.n.01,close observation of a person or group (usually by the police),4.2467,931
fever,noun,A2,fever.n.01,a rise in the temperature of the body; frequently a symptom of infection,4.2457,932
double,adj,A2,double.s.02,consisting of or involving two parts or components usually in pairs,4.2456,933
double,adj,A2,double.s.01,having more than one decidedly dissimilar aspects or qualities; ; - R.W.Emerson; -Frederick Harrison,4.2456,934
bean,noun,A2,bean.n.01,any of various edible seeds of plants of the family Leguminosae used for food,4.2452,935
identify,verb,A2,identify.v.01,recognize as being; establish the identity of someone or something,4.2451,936
good,noun,A2,good.n.02,moral excellence or admirableness,4.2445,937
fan,noun,A2,fan.n.01,a device for creating a current of air by movement of a surface or surfaces,4.244,938
ad,noun,B1,ad.n.01,a public promotion of some product or service,4.2427,939
affect,verb,A2,affect.v.01,have an effect upon,4.2425,940
fortune,noun,B2,luck.n.02,an unknown and unpredictable phenomenon that causes an event to result one way rather than another,4.2416,941
ability,noun,A2,ability.n.01,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,4.241,942
drive,noun,A2,drive.n.01,the act of applying force to propel something,4.2409,943
fence,noun,B1,fence.n.01,a barrier that serves to enclose an area,4.2407,944
mirror,noun,A2,mirror.n.01,polished surface that forms images by reflecting light,4.2402,945
fire,verb,A2,fire.v.03,bake in a kiln so as to harden,4.2399,946
recognize,verb,A2,acknowledge.v.06,accept (someone) to be what is claimed or accept his power and authority,4.2398,947
lock,verb,A2,lock.v.03,become rigid or immoveable,4.2393,948
missile,noun,C1,missile.n.01,a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control,4.2382,949
warning,noun,B1,warning.n.01,a message informing of danger,4.2381,950
deliver,verb,B1,deliver.v.02,"bring to a destination, make a delivery",4.238,951
honest,adj,B1,honest.s.02,without dissimulation; frank,4.2379,952
personally,adv,B1,personally.r.01,as yourself,4.2376,953
stage,noun,B1,phase.n.01,any distinct time period in a sequence of events,4.2373,954
cruel,adj,B1,barbarous.s.01,(of persons or their actions) able or disposed to inflict pain or suffering,4.2372,955
promise,noun,A2,promise.n.02,grounds for feeling hopeful about the future,4.2367,956
invite,verb,A2,invite.v.01,increase the likelihood of,4.2366,957
sample,noun,B1,sample.n.01,a small part of something intended as representative of the whole,4.2362,958
gather,verb,B1,gather.v.01,assemble or get together,4.2358,959
legal,adj,B1,legal.a.01,established by or founded upon law or official or accepted rules,4.2357,960
mixed,adj,B2,assorted.s.01,consisting of a haphazard assortment of different kinds; ; ; ; ; ; - I.A.Richards,4.2349,961
load,noun,B2,load.n.01,weight to be borne or conveyed,4.2347,962
source,noun,B1,beginning.n.04,"the place where something begins, where it springs into being",4.2343,963
attempt,noun,B1,attempt.n.01,earnest and conscientious activity intended to do or accomplish something,4.2341,964
raise,verb,A2,raise.v.02,raise from a lower to a higher position,4.2332,965
low,adj,A2,low.a.02,literal meanings; being at or having a relatively small elevation or upward extension,4.2328,966
joint,adj,B2,joint.a.01,united or combined,4.2325,967
attract,verb,B1,attract.v.01,direct toward itself or oneself by means of some psychological power or physical attributes,4.232,968
physical,adj,A2,physical.a.01,involving the body as distinguished from the mind or spirit,4.2315,969
sand,noun,B1,sand.n.01,a loose material consisting of grains of rock or coral,4.2306,970
relationship,noun,A2,relationship.n.02,a state of connectedness between people (especially an emotional connection),4.2305,971
sigh,verb,C1,sigh.v.01,heave or utter a sigh; breathe deeply and heavily,4.2305,972
tube,noun,B2,tube.n.01,conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases,4.2301,973
yell,verb,C1,yell.v.02,utter or declare in a very loud voice,4.2297,974
costume,noun,B1,costume.n.01,the attire worn in a play or at a fancy dress ball,4.2296,975
separate,adj,A2,separate.a.01,independent; not united or joint,4.2285,976
shy,adj,B1,diffident.a.02,lacking self-confidence,4.2285,977
cave,noun,B2,cave.n.01,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,4.228,978
noon,noun,C1,noon.n.01,the middle of the day,4.228,979
mental,adj,B1,mental.a.01,involving the mind or an intellectual process,4.2272,980
fabulous,adj,B2,fabulous.s.01,extremely pleasing,4.227,981
contest,noun,B1,contest.n.01,an occasion on which a winner is selected from among two or more contestants,4.2269,982
naturally,adv,B1,naturally.r.01,as might be expected,4.2267,983
castle,noun,B2,palace.n.01,a large and stately mansion,4.2265,984
rock,verb,C1,rock.v.01,move back and forth or sideways,4.2265,985
badly,adv,A2,badly.r.01,to a severe or serious degree,4.226,986
criminal,noun,A2,criminal.n.01,someone who has committed a crime or has been legally convicted of a crime,4.226,987
need,noun,A2,need.n.02,anything that is necessary but lacking,4.2255,988
copy,noun,A2,transcript.n.02,a reproduction of a written record (e.g. of a legal or school record),4.225,989
betray,verb,C1,betray.v.01,reveal unintentionally,4.2248,990
nut,noun,A2,nut.n.02,Egyptian goddess of the sky,4.2244,991
edge,noun,B1,edge.n.01,the boundary of a surface,4.2228,992
particular,adj,A2,particular.s.01,unique or specific to a person or thing or category,4.2225,993
pleasant,adj,B1,pleasant.a.01,affording pleasure; being in harmony with your taste or likings,4.2216,994
badge,noun,B2,badge.n.01,an emblem (a small piece of plastic or cloth or metal) that signifies your status (rank or membership or affiliation etc.),4.2213,995
cover,verb,A2,cover.v.04,provide for,4.2207,996
intention,noun,B1,purpose.n.01,an anticipated outcome that is intended or that guides your planned actions,4.2203,997
clever,adj,B1,cagey.s.01,showing self-interest and shrewdness in dealing with others,4.2197,998
rent,verb,B1,rent.v.01,let for money,4.219,999
hip,noun,B2,hip.n.01,either side of the body below the waist and above the thigh,4.2189,1000
explanation,noun,A2,explanation.n.01,a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.,4.2178,1001
limit,noun,B1,limit.n.01,the greatest possible degree of something,4.2177,1002
tower,noun,B1,tower.n.01,a structure taller than its diameter; can stand alone or be attached to a larger building,4.2176,1003
policy,noun,B1,policy.n.01,a plan of action adopted by an individual or social group,4.2173,1004
reality,noun,B1,world.n.03,all of your experiences that determine how things appear to you,4.2167,1005
state,noun,B1,state.n.02,the way something is with respect to its main attributes,4.2165,1006
vehicle,noun,B1,vehicle.n.01,a conveyance that transports people or objects,4.215,1007
lung,noun,B2,lung.n.01,either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood,4.2139,1008
roll,verb,B1,roll.v.01,move by turning over or rotating,4.2138,1009
backup,noun,C1,backup.n.01,an accumulation caused by clogging or a stoppage,4.2134,1010
feed,noun,B2,feed.n.01,food for domestic livestock,4.2128,1011
tend,verb,B1,tend.v.01,have a tendency or disposition to do or be something; be inclined,4.2121,1012
hunting,noun,B2,hunt.n.08,the pursuit and killing or capture of wild animals regarded as a sport,4.212,1013
boom,noun,C1,boom.n.01,a deep prolonged loud noise,4.2118,1014
danger,noun,A2,risk.n.02,a venture undertaken without regard to possible loss or injury,4.2117,1015
mark,noun,A2,mark.n.01,a number or letter indicating quality (especially of a student's performance),4.2114,1016
better,noun,B1,better.n.01,something superior in quality or condition or effect,4.2112,1017
ton,noun,B1,short_ton.n.01,a United States unit of weight equivalent to 2000 pounds,4.2112,1018
slip,verb,B2,steal.v.02,move stealthily,4.2102,1019
route,noun,A2,path.n.03,an established line of travel or access,4.21,1020
normally,adv,A2,normally.r.01,under normal conditions,4.2096,1021
fully,adv,B2,fully.r.01,to the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form),4.2087,1022
pop,verb,C1,pop.v.02,hit a pop-fly,4.2081,1023
pop,verb,C1,start.v.14,bulge outward,4.2081,1024
motive,noun,C1,motivation.n.01,the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior,4.208,1025
manner,noun,A2,manner.n.01,how something is done or how it happens,4.2075,1026
specific,adj,B1,specific.a.01,(sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique,4.2074,1027
deck,noun,B2,deck.n.01,any of various platforms built into a vessel,4.2069,1028
slight,adj,B2,little.a.02,(quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some,4.2059,1029
pleased,adj,A2,pleased.a.01,experiencing or manifesting pleasure,4.2057,1030
split,noun,B2,split.n.01,extending the legs at right angles to the trunk (one in front and the other in back),4.2053,1031
proof,noun,B2,proof.n.02,a formal series of statements showing that if one thing is true something else necessarily follows from it,4.2051,1032
personality,noun,A2,personality.n.01,"the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual",4.2043,1033
tail,noun,B1,tail.n.01,the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body,4.2043,1034
mayor,noun,A2,mayor.n.01,the head of a city government,4.2042,1035
search,verb,A2,search.v.01,"try to locate or discover, or try to establish the existence of",4.2038,1036
drop,verb,A2,drop.v.03,go down in value,4.2036,1037
unit,noun,B1,unit_of_measurement.n.01,any division of quantity accepted as a standard of measurement or exchange,4.203,1038
forth,adv,C1,away.r.01,from a particular thing or place or position (`forth' is obsolete),4.2026,1039
lap,noun,C1,lap.n.01,the upper side of the thighs of a seated person,4.2026,1040
skull,noun,B2,skull.n.01,the bony skeleton of the head of vertebrates,4.202,1041
stab,verb,C1,knife.v.01,use a knife on,4.201,1042
presence,noun,B2,presence.n.01,the state of being present; current existence,4.1997,1043
deep,adj,A2,deep.s.02,marked by depth of thinking,4.1995,1044
wonder,noun,B1,wonder.n.02,something that causes feelings of wonder,4.1988,1045
control,verb,A2,control.v.02,lessen the intensity of; temper; hold in restraint; hold or keep within limits,4.1986,1046
recognize,verb,A2,recognize.v.02,be fully aware or cognizant of,4.1984,1047
swallow,verb,B2,swallow.v.01,pass through the esophagus as part of eating or drinking,4.1984,1048
target,noun,B1,target.n.01,a reference point to shoot at,4.1983,1049
alert,adj,B2,alert.a.01,engaged in or accustomed to close observation,4.1977,1050
dare,verb,B2,dare.v.02,"to be courageous enough to try or do something; ,",4.197,1051
merely,adv,C1,merely.r.01,and nothing more,4.1965,1052
agency,noun,B1,agency.n.01,an administrative unit of government,4.1958,1053
understanding,noun,B1,understanding.n.01,the cognitive condition of someone who understands,4.1957,1054
dealer,noun,B2,trader.n.01,someone who purchases and maintains an inventory of goods to be sold,4.1955,1055
request,noun,A2,request.n.01,a formal message requesting something that is submitted to an authority,4.195,1056
approve,verb,B1,approve.v.01,give sanction to,4.195,1057
hurry,verb,B1,travel_rapidly.v.01,move very fast,4.1949,1058
opera,noun,B2,opera.n.01,a drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes,4.1949,1059
race,noun,B1,race.n.02,a contest of speed,4.1947,1060
vote,verb,B1,vote.v.01,express one's preference for a candidate or for a measure or resolution; cast a vote,4.1939,1061
steel,noun,B2,steel.n.01,an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range,4.1938,1062
good,noun,A2,good.n.01,benefit,4.1934,1063
instinct,noun,C1,instinct.n.01,inborn pattern of behavior often responsive to specific stimuli,4.1932,1064
deal,verb,A2,deal.v.03,take action with respect to (someone or something),4.1925,1065
human,noun,A2,homo.n.02,"any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage",4.1921,1066
committee,noun,B1,committee.n.01,a special group delegated to consider some matter;  - Milton Berle,4.1913,1067
sauce,noun,A2,sauce.n.01,flavorful relish or dressing or topping served as an accompaniment to food,4.191,1068
wander,verb,B2,roll.v.12,"move about aimlessly or without any destination, often in search of food or employment",4.1906,1069
sweet,adj,B1,dulcet.s.02,pleasing to the ear,4.1898,1070
risk,noun,B1,risk.n.02,a venture undertaken without regard to possible loss or injury,4.1897,1071
anger,noun,B1,anger.n.01,a strong emotion; a feeling that is oriented toward some real or supposed grievance,4.1897,1072
experiment,noun,A2,experiment.n.01,the act of conducting a controlled test or investigation,4.189,1073
fix,verb,A2,fasten.v.01,cause to be firmly attached,4.1884,1074
property,noun,B1,property.n.02,a basic or essential attribute shared by all members of a class,4.1882,1075
spending,noun,B1,spending.n.01,the act of spending or disbursing money,4.1882,1076
extremely,adv,A2,highly.r.01,to a high degree or extent; favorably or with much respect,4.1878,1077
adventure,noun,A2,adventure.n.01,a wild and exciting undertaking (not necessarily lawful),4.1876,1078
procedure,noun,B2,procedure.n.01,a particular course of action intended to achieve a result,4.1874,1079
manager,noun,A2,coach.n.01,(sports) someone in charge of training an athlete or a team,4.1871,1080
announce,verb,B1,announce.v.01,make known; make an announcement,4.1869,1081
honor,verb,B2,honor.v.01,bestow honor or rewards upon,4.1854,1082
distract,verb,B2,distract.v.01,draw someone's attention away from something,4.1853,1083
thumb,noun,B2,thumb.n.01,the thick short innermost digit of the forelimb,4.1853,1084
current,adj,B1,current.a.01,occurring in or belonging to the present time,4.1848,1085
trigger,noun,C1,gun_trigger.n.01,lever that activates the firing mechanism of a gun,4.1848,1086
timing,noun,B2,timing.n.01,the time when something happens,4.1842,1087
gear,noun,C1,gear.n.01,a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion,4.1842,1088
county,noun,B2,county.n.01,(United Kingdom) a region created by territorial division for the purpose of local government,4.1836,1089
wind,verb,B2,weave.v.04,"to move or cause to move in a sinuous, spiral, or circular course",4.1833,1090
wind,verb,B2,wind.v.03,arrange or or coil around,4.1833,1091
joy,noun,B2,joy.n.01,the emotion of great happiness,4.1832,1092
personnel,noun,C1,force.n.04,group of people willing to obey orders,4.1831,1093
set,noun,B1,set.n.02,(mathematics) an abstract collection of numbers or symbols,4.1826,1094
alcohol,noun,B1,alcohol.n.01,a liquor or brew containing alcohol as the active agent,4.1825,1095
exit,noun,B1,exit.n.01,an opening that permits escape or release,4.1825,1096
grass,noun,A2,grass.n.01,narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay,4.1813,1097
coast,noun,A2,seashore.n.01,the shore of a sea or ocean,4.1808,1098
metal,noun,A2,metallic_element.n.01,any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.,4.1808,1099
makeup,noun,B2,makeup.n.01,cosmetics applied to the face to improve or change your appearance,4.1808,1100
senior,adj,B2,senior.a.01,older; higher in rank; longer in length of tenure or service,4.1806,1101
taste,noun,B1,taste.n.01,the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus,4.1803,1102
reach,verb,A2,reach.v.02,"reach a point in time, or a certain state or level",4.1802,1103
revenge,noun,C1,retaliation.n.01,action taken in return for an injury or offense,4.1802,1104
point,verb,B1,indicate.v.02,"indicate a place, direction, person, or thing; either spatially or figuratively",4.1797,1105
rest,verb,A2,rest.v.01,not move; be in a resting position,4.1796,1106
inform,verb,B2,inform.v.01,"impart knowledge of some fact, state or affairs, or event to",4.1794,1107
sense,verb,B2,feel.v.03,"perceive by a physical sensation, e.g., coming from the skin or muscles",4.1785,1108
material,noun,A2,material.n.01,the tangible substance that goes into the makeup of a physical object,4.1783,1109
cheat,verb,B1,cheat.v.02,defeat someone through trickery or deceit,4.1777,1110
cheat,verb,B1,cheat.v.01,deprive somebody of something by deceit,4.1777,1111
range,noun,B1,scope.n.01,an area in which something acts or operates or has power or control:,4.177,1112
